Total Device Time (s),Host Time (s),grid.x,block.x,grid.y,block.y,dimx,dimy
1.18,0.547,16384,1,16384,1,1,1
0.988,0.571,16384,1,8192,2,1,2
0.96,0.432,16384,1,5462,3,1,3
0.949,0.542,16384,1,4096,4,1,4
0.944,0.542,16384,1,3277,5,1,5
0.948,0.541,16384,1,2731,6,1,6
0.902,0.543,16384,1,2341,7,1,7
0.902,0.539,16384,1,2048,8,1,8
0.895,0.552,16384,1,1821,9,1,9
0.903,0.54,16384,1,1639,10,1,10
0.929,0.539,16384,1,1490,11,1,11
0.949,0.54,16384,1,1366,12,1,12
0.933,0.543,16384,1,1261,13,1,13
0.944,0.541,16384,1,1171,14,1,14
0.904,0.541,16384,1,1093,15,1,15
0.918,0.542,16384,1,1024,16,1,16
0.949,0.54,16384,1,964,17,1,17
0.962,0.544,16384,1,911,18,1,18
0.943,0.54,16384,1,863,19,1,19
0.927,0.541,16384,1,820,20,1,20
0.803,0.474,16384,1,781,21,1,21
0.945,0.542,16384,1,745,22,1,22
0.942,0.542,16384,1,713,23,1,23
0.916,0.541,16384,1,683,24,1,24
0.954,0.54,16384,1,656,25,1,25
0.868,0.541,16384,1,631,26,1,26
0.933,0.54,16384,1,607,27,1,27
0.933,0.54,16384,1,586,28,1,28
0.912,0.541,16384,1,565,29,1,29
0.936,0.543,16384,1,547,30,1,30
0.951,0.541,16384,1,529,31,1,31
0.944,0.542,16384,1,512,32,1,32
1.0,0.541,8192,2,16384,1,2,1
0.936,0.54,8192,2,8192,2,2,2
0.946,0.54,8192,2,5462,3,2,3
0.94,0.54,8192,2,4096,4,2,4
0.943,0.542,8192,2,3277,5,2,5
0.899,0.54,8192,2,2731,6,2,6
0.932,0.544,8192,2,2341,7,2,7
0.926,0.542,8192,2,2048,8,2,8
0.927,0.541,8192,2,1821,9,2,9
0.939,0.539,8192,2,1639,10,2,10
0.903,0.544,8192,2,1490,11,2,11
0.917,0.54,8192,2,1366,12,2,12
0.946,0.542,8192,2,1261,13,2,13
0.935,0.541,8192,2,1171,14,2,14
0.902,0.544,8192,2,1093,15,2,15
0.91,0.541,8192,2,1024,16,2,16
0.85,0.544,8192,2,964,17,2,17
0.786,0.311,8192,2,911,18,2,18
0.935,0.54,8192,2,863,19,2,19
0.908,0.544,8192,2,820,20,2,20
0.937,0.541,8192,2,781,21,2,21
0.953,0.543,8192,2,745,22,2,22
0.912,0.541,8192,2,713,23,2,23
0.938,0.542,8192,2,683,24,2,24
0.936,0.54,8192,2,656,25,2,25
0.922,0.54,8192,2,631,26,2,26
0.913,0.538,8192,2,607,27,2,27
0.926,0.539,8192,2,586,28,2,28
0.907,0.54,8192,2,565,29,2,29
0.913,0.564,8192,2,547,30,2,30
0.909,0.544,8192,2,529,31,2,31
0.931,0.539,8192,2,512,32,2,32
0.975,0.509,5462,3,16384,1,3,1
0.964,0.541,5462,3,8192,2,3,2
0.914,0.485,5462,3,5462,3,3,3
0.886,0.541,5462,3,4096,4,3,4
0.937,0.54,5462,3,3277,5,3,5
0.956,0.54,5462,3,2731,6,3,6
0.822,0.539,5462,3,2341,7,3,7
0.928,0.544,5462,3,2048,8,3,8
0.939,0.544,5462,3,1821,9,3,9
0.931,0.54,5462,3,1639,10,3,10
0.916,0.543,5462,3,1490,11,3,11
0.908,0.54,5462,3,1366,12,3,12
0.898,0.543,5462,3,1261,13,3,13
0.935,0.541,5462,3,1171,14,3,14
0.918,0.543,5462,3,1093,15,3,15
0.933,0.541,5462,3,1024,16,3,16
0.919,0.543,5462,3,964,17,3,17
0.887,0.465,5462,3,911,18,3,18
0.906,0.541,5462,3,863,19,3,19
0.907,0.54,5462,3,820,20,3,20
0.919,0.541,5462,3,781,21,3,21
0.94,0.542,5462,3,745,22,3,22
0.895,0.541,5462,3,713,23,3,23
0.939,0.541,5462,3,683,24,3,24
0.94,0.542,5462,3,656,25,3,25
0.921,0.54,5462,3,631,26,3,26
0.951,0.543,5462,3,607,27,3,27
0.908,0.54,5462,3,586,28,3,28
0.933,0.587,5462,3,565,29,3,29
0.921,0.54,5462,3,547,30,3,30
0.911,0.55,5462,3,529,31,3,31
0.933,0.54,5462,3,512,32,3,32
0.979,0.544,4096,4,16384,1,4,1
0.94,0.543,4096,4,8192,2,4,2
0.949,0.671,4096,4,5462,3,4,3
0.895,0.541,4096,4,4096,4,4,4
0.72,0.526,4096,4,3277,5,4,5
0.893,0.543,4096,4,2731,6,4,6
0.928,0.539,4096,4,2341,7,4,7
0.933,0.542,4096,4,2048,8,4,8
0.925,0.54,4096,4,1821,9,4,9
0.922,0.56,4096,4,1639,10,4,10
0.979,0.543,4096,4,1490,11,4,11
1.0,0.544,4096,4,1366,12,4,12
0.925,0.545,4096,4,1261,13,4,13
0.864,0.54,4096,4,1171,14,4,14
0.892,0.54,4096,4,1093,15,4,15
0.875,0.545,4096,4,1024,16,4,16
0.858,0.541,4096,4,964,17,4,17
0.896,0.543,4096,4,911,18,4,18
0.88,0.541,4096,4,863,19,4,19
0.851,0.544,4096,4,820,20,4,20
0.851,0.54,4096,4,781,21,4,21
0.883,0.543,4096,4,745,22,4,22
0.874,0.541,4096,4,713,23,4,23
0.878,0.541,4096,4,683,24,4,24
0.887,0.539,4096,4,656,25,4,25
0.853,0.54,4096,4,631,26,4,26
0.877,0.54,4096,4,607,27,4,27
0.851,0.542,4096,4,586,28,4,28
0.852,0.54,4096,4,565,29,4,29
0.9,0.541,4096,4,547,30,4,30
0.855,0.541,4096,4,529,31,4,31
0.85,0.541,4096,4,512,32,4,32
0.902,0.546,3277,5,16384,1,5,1
0.901,0.54,3277,5,8192,2,5,2
0.863,0.544,3277,5,5462,3,5,3
0.905,0.541,3277,5,4096,4,5,4
0.911,0.543,3277,5,3277,5,5,5
0.897,0.54,3277,5,2731,6,5,6
0.862,0.543,3277,5,2341,7,5,7
0.856,0.541,3277,5,2048,8,5,8
0.889,0.545,3277,5,1821,9,5,9
0.9,0.54,3277,5,1639,10,5,10
0.868,0.544,3277,5,1490,11,5,11
0.861,0.541,3277,5,1366,12,5,12
0.902,0.543,3277,5,1261,13,5,13
0.862,0.544,3277,5,1171,14,5,14
0.88,0.54,3277,5,1093,15,5,15
0.89,0.54,3277,5,1024,16,5,16
0.88,0.54,3277,5,964,17,5,17
0.889,0.54,3277,5,911,18,5,18
0.845,0.541,3277,5,863,19,5,19
0.889,0.545,3277,5,820,20,5,20
0.88,0.541,3277,5,781,21,5,21
0.909,0.358,3277,5,745,22,5,22
0.857,0.545,3277,5,713,23,5,23
0.939,0.456,3277,5,683,24,5,24
0.938,0.545,3277,5,656,25,5,25
0.901,0.543,3277,5,631,26,5,26
0.896,0.402,3277,5,607,27,5,27
0.916,0.543,3277,5,586,28,5,28
0.973,0.539,3277,5,565,29,5,29
0.874,0.543,3277,5,547,30,5,30
0.901,0.542,3277,5,529,31,5,31
0.889,0.543,3277,5,512,32,5,32
1.02,0.544,2731,6,16384,1,6,1
0.903,0.54,2731,6,8192,2,6,2
0.918,0.54,2731,6,5462,3,6,3
0.997,0.543,2731,6,4096,4,6,4
0.939,0.54,2731,6,3277,5,6,5
0.9,0.54,2731,6,2731,6,6,6
0.919,0.541,2731,6,2341,7,6,7
0.932,0.541,2731,6,2048,8,6,8
0.901,0.566,2731,6,1821,9,6,9
0.911,0.542,2731,6,1639,10,6,10
0.958,0.544,2731,6,1490,11,6,11
0.913,0.541,2731,6,1366,12,6,12
0.958,0.541,2731,6,1261,13,6,13
0.867,0.54,2731,6,1171,14,6,14
0.899,0.556,2731,6,1093,15,6,15
0.949,0.54,2731,6,1024,16,6,16
0.93,0.543,2731,6,964,17,6,17
0.912,0.539,2731,6,911,18,6,18
0.962,0.542,2731,6,863,19,6,19
0.924,0.54,2731,6,820,20,6,20
0.935,0.541,2731,6,781,21,6,21
0.971,0.54,2731,6,745,22,6,22
0.96,0.54,2731,6,713,23,6,23
0.915,0.54,2731,6,683,24,6,24
0.958,0.573,2731,6,656,25,6,25
0.914,0.541,2731,6,631,26,6,26
0.936,0.541,2731,6,607,27,6,27
0.931,0.543,2731,6,586,28,6,28
0.838,0.541,2731,6,565,29,6,29
0.926,0.542,2731,6,547,30,6,30
0.917,0.541,2731,6,529,31,6,31
0.917,0.541,2731,6,512,32,6,32
0.993,0.542,2341,7,16384,1,7,1
0.941,0.542,2341,7,8192,2,7,2
0.967,0.541,2341,7,5462,3,7,3
0.941,0.543,2341,7,4096,4,7,4
0.932,0.541,2341,7,3277,5,7,5
0.96,0.544,2341,7,2731,6,7,6
0.949,0.542,2341,7,2341,7,7,7
0.944,0.558,2341,7,2048,8,7,8
0.945,0.54,2341,7,1821,9,7,9
0.936,0.472,2341,7,1639,10,7,10
0.957,0.45,2341,7,1490,11,7,11
0.949,0.542,2341,7,1366,12,7,12
0.96,0.541,2341,7,1261,13,7,13
0.894,0.542,2341,7,1171,14,7,14
0.986,0.542,2341,7,1093,15,7,15
0.838,0.542,2341,7,1024,16,7,16
0.927,0.54,2341,7,964,17,7,17
0.916,0.543,2341,7,911,18,7,18
0.924,0.374,2341,7,863,19,7,19
0.811,0.543,2341,7,820,20,7,20
0.988,0.541,2341,7,781,21,7,21
0.947,0.542,2341,7,745,22,7,22
0.933,0.542,2341,7,713,23,7,23
0.86,0.542,2341,7,683,24,7,24
0.892,0.502,2341,7,656,25,7,25
0.938,0.541,2341,7,631,26,7,26
0.967,0.541,2341,7,607,27,7,27
0.917,0.541,2341,7,586,28,7,28
0.942,0.323,2341,7,565,29,7,29
0.957,0.542,2341,7,547,30,7,30
0.984,0.539,2341,7,529,31,7,31
0.945,0.543,2341,7,512,32,7,32
0.98,0.541,2048,8,16384,1,8,1
0.956,0.544,2048,8,8192,2,8,2
